spec_mz_index,oli_mass_index,delta_ppm
0,105,1.516409076926122
3,107,1.428037395952892
27,112,1.82865149638587
46,118,2.260518894802905
50,119,2.06822574465179
62,120,2.5668511581256706
66,121,1.7168746381473619
67,122,1.9762918078163072
69,123,1.8512451393430045
85,124,1.4137412204767494
87,125,1.4569386746420587
107,126,2.1185032958924466
120,127,0.5099968346405763
125,128,3.344294489295729
131,129,1.3125155931607955
135,130,1.750470717486611
139,131,2.4568589287047518
142,132,1.0579484832360155
152,133,1.429101893587967
153,134,1.6493108688694784
