spec_mz_index,oli_mass_index,delta_ppm
15,94,1.0515786485998242
20,101,1.0713794519552655
24,105,1.1676135220875965
26,107,1.593759530735452
42,112,1.6976681405369187
53,116,1.5700790433566651
56,117,2.58103433208764
78,118,1.6757181325298462
87,119,1.831045208304308
105,120,1.943040847121028
114,121,1.126769760060432
116,122,1.1745100035598122
123,123,1.373592821604339
130,124,1.0423222555451082
135,125,0.6611113644144408
145,126,1.4197597768649877
160,129,1.0455979557898682
161,130,0.9545395138745109
167,133,0.683534482803243
169,134,1.2180738243208709
