spec_mz_index,oli_mass_index,delta_ppm
17,94,1.5449432246809205
20,100,1.5371522686890102
23,103,1.5434614529306578
25,107,1.4207002444171615
39,109,1.687925394472621
46,110,2.4938865528637044
59,114,1.7493989892437531
62,115,2.08249640484232
64,116,2.326636673313166
67,117,2.2196342866415577
87,118,1.9020927023526695
99,119,2.287161524544614
124,120,2.3645343855085783
139,121,1.2251206217499997
141,122,1.583582513203207
156,123,1.6601842671488485
175,124,1.4137412203078474
178,125,1.543756122714233
185,126,0.584658293719551
214,127,1.0781597042927913
217,128,1.185529901550746
219,129,1.3125155931607955
221,130,1.4778916807579143
225,131,1.091658356157483
229,132,1.0666407636562263
233,133,0.9388659129836063
236,134,1.5891382802453276
