spec_mz_index,oli_mass_index,delta_ppm
14,109,1.9749605642820742
36,118,2.6000803140577275
39,119,2.6155650145315446
46,120,3.1738009838328
47,121,2.225019947524021
48,122,2.0744690831825636
49,123,2.3448187217724956
60,124,1.948584045235972
61,125,1.8042083766479167
64,126,1.8552137169041996
88,127,2.5407768383645664
92,128,0.3682001540830125
94,129,1.9909306136460665
97,130,2.4809818028914195
103,131,2.1072483932856145
110,132,2.3203394213531516
113,133,2.1848814218600117
114,134,2.200892592988184
