spec_mz_index,oli_mass_index,delta_ppm
19,94,1.544943224306993
25,101,1.5371522685125025
31,105,1.6036079275761757
34,107,1.8423426298413212
62,112,1.82865149638587
77,116,2.326636673429397
81,117,2.219634286755687
106,118,2.260518894802905
117,119,2.3966293784375896
144,120,2.465692782050169
161,121,1.5201730896257823
164,122,1.485405141634935
184,123,1.8512451393430045
202,124,1.5920222257440588
207,125,1.891025764586378
228,126,1.800892726543142
247,129,1.7240133383109713
248,130,1.6850517622784829
261,133,1.3678224223422275
263,134,1.7094834502521372
