spec_mz_index,oli_mass_index,delta_ppm
25,96,1.6200108761230523
27,101,0.9579626462610292
34,105,1.4292102110687634
38,107,1.179454090868017
55,113,2.308923507347651
96,118,2.147331703734356
106,119,2.287161524337196
125,120,2.465692782050169
137,121,1.4218222861599625
140,122,1.6817598658659096
148,123,1.8512451393430045
162,124,1.5028817311408962
165,125,1.2833037332740163
182,126,1.5722129916281515
198,129,4.315138875970312
211,133,0.9455179030904198
