spec_mz_index,oli_mass_index,delta_ppm
3,125,1.6908067628537053
4,127,1.7594816099622759
14,135,1.305211578358836
28,146,2.373706060248722
31,147,2.8345005547596647
33,148,1.3984163609155373
37,154,2.323370592999417
43,157,2.440349036188619
46,160,2.2261721455168466
57,162,1.7723515051695897
76,165,2.6778969751037374
80,166,0.9056226040664703
90,169,2.368998068461589
95,170,2.320339421236324
