spec_mz_index,oli_mass_index,delta_ppm
1,79,0.8188177237667161
3,80,1.428037395952892
20,81,1.6321764498069853
32,82,1.9020927023526695
36,83,2.068225744859208
43,84,2.1229215719127694
46,85,2.0499443388003376
49,86,1.618523873745816
52,87,1.6601842669678388
57,88,2.1065335082173338
63,89,2.327130720434641
