spec_mz_index,oli_mass_index,delta_ppm
1,131,1.3420113308302113
5,135,1.84234263062634
20,166,1.9596348177973961
34,191,2.0176771537801446
35,194,2.151965694078115
43,206,2.1065335087419883
46,214,2.596559808066798
56,217,1.0539701741408083
60,220,6.109785370884791
76,227,1.1123273789652004
80,229,1.4778916812537337
92,237,1.3065429440505751
94,241,1.5289656849497535
102,243,1.322058984895341
