spec_mz_index,oli_mass_index,delta_ppm
29,96,1.8738526715517956
31,102,1.3508431940975154
36,106,1.1676135220875965
39,108,1.1794540910250206
91,118,1.9020927023526695
99,119,2.177693646685156
129,122,1.3234714637210567
141,123,1.6601842671488485
